,logP,Temperature,smiles
37965,3.28,,CCON=C(CCC)C1C(=O)CC(C)(C2CC2)OC1=O
37967,5.27,,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(OC(F)(F)C(F)OC(F)(F)F)cc2
37970,4.49,,c1c(Cl)cc2ncc3c4cc(OC)ccc4n(H)c3c2c1
37972,6.06,,Clc1cc(Cl)ccc1Oc2c(Cl)c(Cl)ccc2Cl
37973,2.18,,C1CCCCC1N2N=NN=C2Oc(c3)ccc(c3)NC(=O)N(C)C
37974,3.96,,CCCCCCCCN1N=NN=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37975,1.0,,C=CCN1=NNN=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37976,1.7,,c1ccccc1CN2N=NN=C2Oc(c3)ccc(c3)NC(=O)N(C)C
37977,0.7,,CCOC(=O)CN1N=NN=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37978,1.0,,C#CCN1N=NN=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37979,1.5,,CCN1N=NN=C1Oc(c2)c(Cl)cc(c2)NC(=O)N(C)C
37980,0.63,,N1=NN(C)N=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37981,1.1,,N1=NN(CC)N=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37982,1.45,,N1=NN(C(C)C)N=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37983,2.08,,N1=NN(C(C)(C)C)N=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37984,2.67,,N1=NN(C2CCCCC2)N=C1Oc(c3)ccc(c3)NC(=O)N(C)C
37985,4.4,,N1=NN(CCCCCCCC)N=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37986,1.65,,N1=NN(CC=C)N=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37987,2.25,,N1=NN(Cc2ccccc2)N=C1Oc(c3)ccc(c3)NC(=O)N(C)C
37988,1.12,,N1N(CC(=O)OCC)=NN=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37989,0.28,,N1=NN(CCC#N)N=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37990,1.7,,N1=NN(CC)N=C1Oc(c2)c(Cl)cc(c2)NC(=O)N(C)C
37991,1.65,,N1=NN(CC#C)N=C1Oc(c2)ccc(c2)NC(=O)N(C)C
37992,3.77,,N12CCCCN1C(=O)SC2=Nc3cc(SCC(=O)OC)c(Cl)cc3F
37994,0.45,,O=C1C(C)=CC(=O)N1COC(=O)C
37995,0.65,,O=C1C(C)=C(C)C(=O)N1COC(=O)C
37996,0.99,,CC(=O)OCN1C(=O)c2ccccc2C1
37997,3.17,,c1ccc2ccccc2c1N(=O)=NC(#N)
37998,2.07,,c1cnc2ccccc2c1N(=O)=NC(#N)
37999,1.12,,c1cn(=O)c2ccccc2c1N(=O)=NC(#N)
38000,-0.41,,c1cn(=O)ccc1N(=O)=NC(#N)
38001,0.1,,c1nccnc1N(=O)=NC(#N)
38002,0.97,,CC(=O)OCN1C(=O)C2CC=CCC2C1=O
38003,-1.21,,OCC1CC(F)C(O1)n2cnc3C(=O)NC=Nc23
38004,-0.13,,n1cccnc1N(=O)=NC(#N)
38005,2.55,,c1ncccc1CC2=C(C)C(=O)C(C)=C(C)C2=O
38008,3.89,,S1CCN=C1c2c(C(F)(F)F)nc(C(F)F)c(C(=O)OC)c2CC(C)C
38009,1.14,,c1c(OC)ncc(OC)n1
38010,-2.7,,CN1(Cl)C(C=NO)=N(COCC)C=C1
38011,-0.11,,CN1(Cl)C(C=NO)=N(COCCCCCC)C=C1
38012,-0.28,,CN1(Cl)C(C=NO)=N(COC(C)CC(C)(C)C)C=C1
38013,-0.86,,CN1(Cl)C(C=NO)=N(COC(CCC)CC)C=C1
38014,-0.76,,CN1(Cl)C(C=NO)=N(COC(C)C(C)CC)C=C1
38015,-1.02,,CN1(Cl)C(C=NO)=N(COC2CCCCC2)C=C1
38016,-0.56,,CN1(Cl)C(C=NO)=N(COC2CCCCCC2)C=C1
38017,1.48,,CN1(Cl)C(C=NO)=N(COC2CCCCCCCCCCC2)C=C1
38018,-0.12,,CN1(Cl)C(C=NO)=N(COCC2CCCCC2)C=C1
38019,0.04,,CN1(Cl)C(C=NO)=N(COC(C2CCCCC2)C)C=C1
38020,-2.5,,CN1(Cl)C(C=NO)=N(COCC=C)C=C1
38021,-2.9,,CN1(Cl)C(C=NO)=N(COCC#C)C=C1
38023,-0.71,,CN1(Cl)C(C=NO)=N(COCC=CCCC)C=C1
38024,-0.76,,CN1(Cl)C(C=NO)=N(COCCC=CCC)C=C1
38025,-0.62,,CN1(Cl)C(C=NO)=N(COC(CC=C)CCC=C)C=C1
38026,-2.36,,CN1(Cl)C(C=NO)=N(COCCC#C)C=C1
38027,-1.17,,CN1(Cl)C(C=NO)=N(COC(CCC)CC#C)C=C1
38028,-1.13,,CN1(Cl)C(C=NO)=N(COCc2ccc(F)cc2)C=C1
38029,-0.13,,CN1(Cl)C(C=NO)=N(COC(c2ccccc2)CCC)C=C1
38030,-0.04,,CN1(Cl)C(C=NO)=N(COCCCCc2ccccc2)C=C1
38031,-0.55,,CN1(Cl)C(C=NO)=N(COCC=Cc2ccccc2)C=C1
38032,-1.05,,CN1(Cl)C(C=NO)=N(COC(c2ccccc2)CC#C)C=C1
38033,3.48,,c1c(N(=O)=O)cc2N=C(Cc3ccc(OC)cc3)Nc2c1
38034,1.02,,CN1C(=O)N(CCC)c2ncnc2C1=O
38038,-0.41,,COCCN1C=CC(=O)C(O)=C1C
38039,0.12,,CC1=C(O)C(=O)C=CN1CCCOCC
38040,2.32,,c1cc(O)c(O)cc1C(O)CCCCC
38041,1.67,,c1cc(O)c(O)cc1C=CC(=O)CCCCCO
38042,2.32,,CC(=O)c1ccc2cc(O)c(O)cc2c1
38043,0.9,,CC(=O)Oc1ccccc1C(=O)OCC(=O)NCC
38044,-0.43,,CC(=O)Oc1ccccc1C(=O)OCC(=O)NCC(=O)N
38045,0.99,,CC(=O)Oc1ccccc1C(=O)OCC(=O)NCC(=O)OCC
38046,0.38,,CC(=O)Oc1ccccc1C(=O)OCC(=O)N(C)C
38047,0.06,,CN(CCO)C(=O)COC(=O)c1ccccc1OC(=O)C
38048,2.5,,CC(=O)Oc1ccccc1C(=O)OCOC(=O)CCC
38049,1.46,,CC(=O)Oc1ccccc1C(=O)OCCN(C)C(=O)C
38050,2.25,,CC(C)(C)N1N=NN=C1Oc(c2)c(Cl)cc(c2)NC(=O)N(C)C
38051,1.65,,CC(C)(C)N1N=NN=C1Oc(c2)ccc(c2)NC(=O)N(C)C
38053,4.44,,c1c(OC)cc(Cl)c(Nc2ccccc2CC(=O)O)c1Cl
38054,-0.32,,CC1=NON(=O)=C1N
38055,0.82,,C1(=O)NC(=O)C(Cl)(C(C)(C)C)C(=O)N1
38056,5.46,,Fc1c(F)cc(F)c(F)c1COC(=O)C2C(C)(C)C2C=C(Cl)Cl
38058,1.76,,c1cc(OC)ccc1C(=O)C2=CSC(S(=O)(=O)N)=C2
38059,1.41,,c1cc(O)ccc1C(=O)C2=CSC(S(=O)(=O)N)=C2
38060,1.52,,c1cc(OC)ccc1C(=O)C2=COC(S(=O)(=O)N)=C2
38061,2.83,,N1C(=O)CC1Oc2cc(C(=O)OCc3ccccc3)ccc2
38062,2.66,,N1C(=O)CC1Oc2c3ccccc3ccc2
38063,2.61,,c1ccccc1c2ccc(OC3CC(=O)N3)cc2
38064,3.08,,N1C(=O)CC1Oc2c3ccccc3cc4ccccc24
38065,2.14,,N1C(=O)CC1Oc2ccc(C(=O)c3ccccc3)cc2
38066,2.56,,c1ccccc1C=CC(=O)c2ccc(OC3NC(=O)C3)cc2
38067,2.48,,c1ccccc1CCC(=O)c2ccc(OC3NC(=O)C3)cc2
38068,1.83,,N1C(=O)CC1Oc2ccccc2C(=O)c3ccccc3
38069,2.64,,N1C(=O)CC1Sc2cc3ccccc3cc2
38070,0.61,,n1ccccc1SC2NC(=O)C2
38071,2.8,,CCOC(=O)CN1C(=O)CC1Oc2cc3ccccc3cc2
38072,3.6,,CC(C)(C)OC(=O)CN1C(=O)CC1Oc2cc3ccccc3cc2
38073,3.0,,CCOC(=O)CN1C(=O)CC1Oc2ccc(C(=O)c3ccccc3)cc2
38074,3.3,,CCOC(=O)CN1C(=O)CC1Oc2ccc(C(=O)C=Cc3ccccc3)cc2
38075,3.4,,CCOC(=O)CN1C(=O)CC1Sc2cc3ccccc3cc2
38076,2.16,,c1cc(C)ccc1C(=O)C2=CSC(S(=O)(=O)N)=C2
38078,4.61,,Clc1c(CC)nn(C)c1C(=O)NCc2ccc(C(C)(C)C)cc2
38079,0.6,,CCCCCSCS(=O)CC(CO)NC(=O)C=CC1=C(C)NC(=O)NC1=O
38080,-0.3,,CCSCS(=O)CC(C)NC(=O)C=CC1=C(C)NC(=O)NC1=O
38081,2.12,,CC(=O)Nc1c(C)cc(Br)cc1C
38082,4.3,,O1CC(C)OC1(Cn2ncnc2)c3c(Cl)cc(Oc4ccc(Cl)cc4)cc3
38083,-1.18,,O1C(CO)CC(F)C1N2C(=O)N=C(N)C=C2
38084,0.8,,Nc1ncnc2n(cnc12)C3OC(CO)C(N=N#N)C3N=N#N
38085,-0.17,,C1C(F)C(CO)OC1N2C(=O)NC(=O)C(Cl)=C2
38086,0.21,,C1C(F)C(CO)OC1N2C(=O)NC(=O)C(I)=C2
38087,3.2,,c1c(Cl)cc2N=C(Cc3ccc(N)cc3)Nc2c1
38088,1.36,,c1cc(OC)ccc1S(=O)(=O)C2=CSC(S(=O)(=O)N)=C2
38089,4.32,,n1c2ccc(Cl)cc2ncc1Oc3ccc(OC(C)C(=O)OCC4OCCC4)cc3
38090,4.0,,Clc1cc(C(F)(F)F)cc(Cl)c1N2C(N)=C(S(=O)C(F)(F)F)C(C#N)=N2
38091,2.33,,c1cnccc1c2cnc(NCC)c(C#N)c2
38092,2.07,,c1cnccc1c2cnc(NCC=C)c(C#N)c2
38093,2.95,,c1cnccc1c2cnc(N3CCCC3)c(C#N)c2
38094,2.03,,c1cnccc1c2cnc(NCCCOC)c(C#N)c2
38095,0.65,,n1c(OC)cc(OC)nc1NC(=O)NS(=O)(=O)c2n(C)ncc2C3=NN(C)N=N3
38096,0.48,,C1CN(c2ncccc2)CCN1CC3OC(N)=NC3
38097,1.83,,C1N=C(N)OC1CN(C2)CCN(C2)c3cc(Cl)ccc3
38098,2.21,,C1N=C(N)OC1CN(C2)CCN(C2)c3cc(C(F)(F)F)ccc3
38099,1.0,,C1N=C(N)OC1CN(C2)CCN(C2)c3ccc(F)cc3
38100,2.19,,C1N=C(N)OC1CN(C2)CCN(C2)c3c(C)c(C)ccc3
38101,0.21,,C1CN(c2ncccn2)CCN1CC3OC(N)=NC3
38102,0.23,,c1cc(S(=O)C)cc(OC)c1C2=Nc3nnccc3N2
38103,0.39,,c1cc(S(=O)C)cc(OC)c1C2=Nc3cnncc3N2
38104,0.66,,c1cc(S(=O)C)cc(OC)c1C2=Nc3nccnc3N2
38105,3.5,,c1cc(OC)cc(OC)c1C2=Cc3cnccc3N2
38106,0.29,,CN(C)C(N(C)C)=S(I)c1c(Cl)c(Cl)ccc1
38107,0.0,,CN(C)C(N(C)C)=S(I)c1c(Cl)cccc1Cl
38108,0.95,,CN(C)C(N(C)C)=S(I)c1c(Cl)c(Cl)c(Cl)cc1
38109,0.05,,CN(C)C(N(C)C)=S(I)c1c(Cl)cc(Cl)cc1Cl
38110,0.74,,CN(C)C(N(C)C)=S(I)c1cc(Cl)c(Cl)c(Cl)c1
38111,-0.88,,CN(C)C(N(C)C)=S(I)c1ccc(O)cc1
38112,-0.81,,CN(C)C(N(C)C)=S(I)c1ccccc1C(=O)C
38113,-0.88,,CN(C)C(N(C)C)=S(I)c1cc(C(=O)C)ccc1
38114,-1.4,,CN(C)C(N(C)C)=S(I)c1c(C(=O)O)cccc1
38115,-1.28,,CN(C)C(N(C)C)=S(I)c1ccc(C(=O)O)cc1
38116,-0.7,,CN(C)C(N(C)C)=S(I)c1c(C(=O)OC)cccc1
38117,-0.75,,CN(C)C(N(C)C)=S(I)c1cc(C(=O)OC)ccc1
38118,-1.1,,CN(C)C(N(C)C)=S(I)c1cc(C#N)ccc1
38119,-1.58,,CN(C)C(N(C)C)=S(I)c1ccc(NC(=O)C)cc1
38120,-1.4,,CN(C)C(N(C)C)=S(I)c1ccc(S(=O)(=O)NC)cc1
38121,-0.81,,CN(C)C(N(C)C)=S(I)c1ccc(S(=O)(=O)N(C)C)cc1
38122,0.47,,CN(C)C(N(C)C)=S(I)c1c(Cl)cc(Cl)cc1
38123,0.52,,CN(C)C(N(C)C)=S(I)c1cc(Cl)cc(Cl)c1
38124,1.07,,C1=NC=CN1CC(O)CN2C3CCCCC23
38125,0.37,,C1=CN=CN1CC(O)CN2C3CCCC23
38126,1.55,,C1=NC=CN1CC(O)CN2C3CCCC(C)C23
38127,1.44,,C1=NC=CN1CC(O)CN2C3CCCCCC23
38128,0.07,,C1=CN=CN1CC(O)CN2C3CCOCC23
38129,3.09,,c1ccccc1C(O)C(=O)NC2(C4)CC(C3)CC(CC34)C2
38130,3.72,,c1ccccc1C(OC(=O)CC)C(=O)NC2(C3)CC(C4)CC(CC34)C2
38131,5.89,,c1ccccc1C(OC(=O)C)C(=O)ON=C(C)C2(C3)CC(C4)CC(CC34)C2
38132,2.26,,CC(=O)Nc1cc(N(=O)=O)ccc1OCCCC
38133,1.25,,CCCNC(=O)C1=CC=CN1
38134,-1.05,,n1c(NC(=O)C)nc2n(COCCOC(=O)C)cnc2c1
38135,1.05,,c1ccccc1C(=O)NCC(=O)NC(C(C)C)C(=O)NCC
38136,0.58,,c1ccccc1C(=O)NCC(=O)NCC
38137,0.24,,O1C(CO)CCC1N2c3ncnc(Cl)c3N=C2
38138,0.53,,O1C(CO)CCC1N2c3ncnc(I)c3N=C2
38141,3.87,,OC(CNCC(O)COc1cccc2ccccc12)COc3ccccc3
38142,2.62,,c1ccccc1OCC(O)CNCC(O)COc2ccc(N(=O)=O)cc2
38143,1.39,,c1ccccc1OCC(O)CNCC(O)COc2ccc(NC(=O)C)cc2
38144,1.63,,n1c(OC)cc(OC)nc1NC(=O)NS(=O)(=O)N(C)S(=O)(=O)C
38145,5.51,,n1cnc2ccccc2c1OCCc3ccc(C(C)(C)C)cc3
38148,4.47,,OC(=O)CC(O)CC(O)CCC1C(C)C=CC2=CC(C)CC(C12)OC(=O)C(C)(C)CC
38151,7.2,,Clc1cc(Cl)ccc1Cc2c(Cl)c(C)c(Cl)cc2
38152,7.43,,Clc1cc(Cl)ccc1Cc2c(Cl)cc(Cl)c(C)c2
38153,7.53,,Clc1ccc(Cl)cc1Cc2c(Cl)cc(Cl)c(C)c2
38154,7.2,,Clc1cccc(Cl)c1Cc2c(Cl)c(C)c(Cl)cc2
38155,6.73,,Clc1cccc(Cl)c1Cc2c(Cl)cc(Cl)c(C)c2
38156,7.48,,Clc1ccc(Cl)cc1Cc2c(Cl)cc(C)c(Cl)c2
38157,7.26,,c1c(Cl)c(Cl)ccc1Cc2c(Cl)cc(Cl)c(C)c2
38158,7.41,,Clc1cc(Cl)ccc1Cc2cc(Cl)c(Cl)cc2C
38159,7.15,,Clc1cccc(Cl)c1Cc2cc(Cl)c(Cl)cc2C
38160,0.76,,c1cc(OCCOCCOC)ccc1OCCOCCOC
38161,0.86,,c1ccc(OCCOCCOC)cc1OCCOCCOC
38162,0.52,,c1ccc2OCCOCCOCCOCCOCCOCCOCCOc3ccccc3OCCOCCOCCOCCOCCOCCOCCOc2c1
38163,4.21,,Clc1ccc(C(F)(F)F)cc1Oc2cc(C(=O)OC)c(N(=O)(=O))cc2
38164,-0.44,,O1C(CO)CC(F)C1N2C(=O)NC(=O)C(C)=C2
38165,1.05,,c1ccccc1COC(O)CNCCNC(=O)Cc2ccccc2
38166,0.63,,c1ccccc1COCC(O)CNCCNC(=O)C(C)C
38167,2.52,,c1ccccc1CCOCC(O)CNC(C)(C)C
38168,1.24,,c1ccccc1CC(=O)NCCNCC(O)COCCc2ccccc2
38169,0.95,,c1ccccc1CCOCC(O)CNCCNC(=O)C(C)C
38170,1.62,,c1ccccc1CC(=O)NCCNCC(O)COCCCc2ccccc2
38171,1.25,,c1ccccc1CCCOCC(O)CNCCNC(=O)C(C)C
38172,2.35,,c1ccccc1OCCOCC(O)CNC(C)(C)C
38173,0.75,,c1ccccc1CC(=O)NCCNCC(O)COCCOc2ccccc2
38174,0.48,,c1ccccc1OCCOCC(O)CNCCNC(=O)C(C)C
38175,1.76,,c1ccccc1CC(=O)NCCNCC(O)COCC=Cc2ccccc2
38176,0.51,,c1ccccc1C=CCOCC(O)CNCCNC(=O)C(C)C
38177,1.68,,c1ccccc1CC(=O)NCCNCC(O)COC2c3ccccc3CCC2
38178,1.99,,CC(C)C(=O)NCCNCC(O)COC1c2ccccc2CCC1
38180,4.0,,c1ccccc1Nc2nc(C3CC3)cc(C)n2
38181,3.88,,n1c(cccc3)c3cc(C(#N))c1Nc2c(N(=O)(=O))cc(N(=O)(=O))cc2C(F)(F)F
38183,2.12,,O1C=CC=C1C2OC(C)(C)N(C(=O)C(Cl)Cl)C2
38184,2.28,,CNC(=O)N(C)C(=O)Nc1cc(C(=O)OC)ccc1F
38185,2.3,,CNC(=O)N(C)C(=O)Nc1cc(N(=O)=O)ccc1F
38186,1.87,,CNC(=O)N(C)C(=O)Nc1cc(S(=O)(=O)C(C)C)ccc1F
38187,0.24,,c1ccccc1CS(=O)(=O)NC(=O)N
38188,0.54,,c1ccccc1CS(=O)(=O)NC(=O)NC
38189,0.54,,c1ccccc1CS(=O)(=O)NC(=O)N(C)C
38190,1.18,,c1ccccc1CS(=O)(=O)N(C)C(=O)NC
38191,-0.45,,c1ncccc1S(=O)(=O)NC(=O)NC
38192,0.42,,c1ncccc1S(=O)(=O)N(C)C(=O)NC
38193,-0.95,,O=C1N(C2OC(CO)CC2)C=CC(N=CN(C)C)=N1
38195,0.26,,c1ccccc1NN=CN2C(C)(C)CC(=O)N2
38196,2.2,,C1COCCN1C(=O)CC(Cc2ccccc2)C(=O)NC(CC3=CNC=N3)C(=O)NC(CC4CCCCC4)C(O)C5CN(CC)C(=O)O5
38197,1.94,,OCCN(C)C(=O)CC(Cc1ccccc1)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC3CCCCC3)C(O)C4CN(CC)C(=O)O4
38198,2.31,,C1C(OCOC)C(OCOC)CN1C(=O)CC(Cc2ccccc2)C(=O)NC(CC3=CN=CN3)C(=O)NC(CC4CCCCC4)C(O)C5CN(CC)C(=O)O5
38199,2.21,,COCCOCOCCN(C)C(=O)CC(Cc1ccccc1)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC3CCCCC3)C(O)C4CN(CC)C(=O)O4
38200,2.83,,C1COCCN1C(=O)CC(c2ccccc2)C(=O)NC(CC3=CSC=N3)C(=O)NC(CC4CCCCC4)C(O)C5CN(CC)C(=O)O5
38201,2.49,,C1COCCN1C(=O)CC(Cc2ccccc2)C(=O)NC(CC3=NNC=C3)C(=O)NC(CC4CCCCC4)C(O)C5CN(CC)C(=O)O5
38202,3.59,,C1COCCN1C(=O)CC(Cc2ccccc2)C(=O)NC(CC3=CC=CS3)C(=O)NC(CC4CCCCC4)C(O)C5CN(CC)C(=O)O5
38203,0.32,,NS(=O)(=O)C(S1)=CC(=C12)C=C(S2)CNCCOC
38204,-0.72,,NS(=O)(=O)C(S1)=CC(=C12)C=C(S2)CNCCO
38205,1.18,,NS(=O)(=O)C(S1)=CC(=C12)C=C(S2)CNCCSC
38206,-0.44,,NS(=O)(=O)C(S1)=CC(=C12)C=C(S2)CNCCS(=O)C
38207,0.88,,C1COCCN1Cc2cc3cc(S(=O)(=O)N)oc3s2
38208,0.34,,FCCNCc1cc2cc(S(=O)(=O)N)oc2s1
38209,4.83,,N#Cc1c(Br)c(C(F)(F)F)n(COCC)c1c2ccc(Cl)cc2
38212,-0.28,,O1C(CO)C=CC1N2C(=O)NC(=S)C=C2
38213,0.44,,O1C(CO)CCC1N2C(=O)NC(=S)C(C)=C2
38214,-0.21,,O1C(CO)CCC1N2C(=O)NC(=S)C=C2
38216,0.99,,Clc1cc(Cl)c(NS(=O)(=O)C)cc1N2N=C(C)N(C(F)F)C2=O
38217,0.29,,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2
38218,0.21,,O1C(CO)CCC1N2c3nc(N)nc(Cl)c3N=C2
38219,1.81,,c1c(C(C)C)cccc1S(=O)(=O)N
38220,2.06,,c1c(S(=O)(=O)N)cccc1OCCCC
38221,2.99,,c1cc(S(=O)(=O)N)cc(N(=O)=O)c1OCCCCCC
38222,6.84,,CCCCCCCCCCCCCc1c(O)cc(O)cc1
38223,6.97,,c1c(O)c(O)ccc1CCCCCCCCCCC
38224,2.51,,c1c(OC)cccc1C2(O)CCCCC2CN(C)C
38225,2.63,,c1c(OC)cccc1C2(O)CCCCC2CN(C)C
38226,1.73,,COc1ccccc1NC(=O)OCCN2CCOCC2
38227,2.19,,COc1cccc(NC(=O)OCCN2CCOCC2)c1
38228,1.7,,COc1ccc(NC(=O)OCCN2CCOCC2)cc1
38229,2.27,,CCOc1ccccc1NC(=O)OCCN2CCOCC2
38230,2.5,,CCOc1cccc(NC(=O)OCCN2CCOCC2)c1
38231,2.18,,CCOc1ccc(NC(=O)OCCN2CCOCC2)cc1
38233,7.39,,CCCCCCCCCCCCOC(=O)N(C)SN(C)C(=O)Oc1cc2OCOc2cc1
38234,-0.18,,O=C1NN=C(C)CN1N=Cc2cccnc2
38235,8.03,,CCCCCCC(C)(C)c1cc2OC(C)(C)C3CCC(C=O)=CC3c2c(O)c1
38236,7.83,,CCCCCCC(C)(C)c1cc2OC(C)(C)C3CCC(CO)=CC3c2c(O)c1
38238,0.6,,[Na]OC(=O)c1c(Cl)cccc1Sc2nc(OC)cc(OC)n2
38241,2.61,,C1=C(SC)C(=O)C=C2C(NC(=O)C(F)(F)F)CCc3cc(O)c(OC)c(OC)c3C2=C1
38242,2.35,,c1cccc(F)c1C2OCC3C(c4ccccc4)=NOC3CO2
38243,4.31,,FC(F)(F)c1ccccc1C2OCC3ON=C(C3CO2)c4ccccc4
38244,2.72,,c1cccc(C)c1C2OCC3C(c4ccccc4)=NOC3CO2
38246,3.45,,c1cccc(F)c1C2OCC3C(c4ccccc4)=NOC3CO2
38247,1.26,,c1cc(O)ccc1C(NC(=O)C2=NN(c3ccccc3)C(=O)NC2=O)NC4C5SCC(C)=C(C(=O)O)N5C4=O
38248,-0.39,,Oc1ccc(C(C(NC(C4SCC(C)=C(N45)C(O)=O)C5=O)=O)NC(C3=NN(C(NC3=O)=O)c2ccc(S(=O)(N)=O)cc2)=O)cc1
38250,1.02,,CC1=N(=O)ON=C1C=O
38251,1.29,,CC1=NON(=O)=C1C=O
38252,4.75,,CCON=C(CCC)C1C(=O)CC(c2ccccc2)(c3ccccc3)OC1=O
38253,3.4,,CCON=C(CCC)C1C(=O)CC(C)(C(C)=CC)OC1=O
38254,6.47,,Clc1c(Cl)ccc(Cl)c1Oc2c(Cl)c(Cl)c(Cl)cc2
38255,-0.87,,O1C(CO)CC(F)C1N2C(=O)NC(=O)C=C2
38256,4.66,,c1c(Cl)cc2nccc(Oc3ccc(F)cc3)c2c1Cl
38257,1.54,,O1CCN(C)CC1(O)c2ccccc2
38258,1.79,,O1C(C)CN(C)CC1(O)c2ccccc2
38259,1.57,,O1CCN(C)CC1(O)c2ccc(Br)cc2
38260,1.92,,O1CCN(C)C(C)C1(O)c2ccccc2
38261,1.87,,O1C(c3ccccc3)C(C)N(C)CC1(O)c2ccccc2
38262,0.99,,O1CCN(C)C(c2ccccc2)C1(O)
38263,1.39,,O1CCN(C)CC1(O)c2cc(C(F)(F)F)ccc2
38264,2.13,,O1CCN(C)CC1(OCCC)c2ccccc2
38265,2.09,,O1CCN(C)CC1(OCC=C)c2ccccc2
38266,1.87,,O1CCN(C)CC1(OCC#C)c2ccccc2
38267,2.27,,O1CCN(C)C(C)C1(OCC)c2ccccc2
38268,2.23,,O1CCN(C)CC1(OCCCC)c2ccccc2
38269,2.17,,O1CCN(C)CC1(OCC(C)C)c2ccccc2
38271,0.22,,C1=CN=C(SC)NC1=O
38272,1.09,,CCNC(=O)C1=CC=CN1C
38274,0.66,,c1cc2NC(SCCC(=O)O)=NS(=O)(=O)c2cc1
38275,1.81,,c1(Cl)cc2S(=O)(=O)N=C(SCCC(=O)O)Nc2cc1Cl
38276,1.77,,c1cc2NC(SCCC(=O)O)=NS(=O)(=O)c2cc1Br
38277,2.04,,c1c(Br)c2NC(SCCC(=O)O)=NS(=O)(=O)c2cc1Br
38278,1.16,,c1(C)cc2NC(SCCC(=O)O)=NS(=O)(=O)c2cc1
38279,3.66,,FCCN1CCCC1CNC(=O)c2c(OC)c(Cl)cc(Cl)c2O
38280,1.6,,c1(Cl)cc2NC(SCCC(=O)O)=NS(=O)(=O)c2cc1
38281,0.96,,c1(OC)cc2NC(SCCC(=O)O)=NS(=O)(=O)c2cc1
38282,1.96,,c1(C(F)(F)F)cc2NC(SCCC(=O)O)=NS(=O)(=O)c2cc1
38284,1.21,,c1cc2C(=O)C(C(=O)OCOC(=O)C)=CN(CC)c2nc1C
38285,1.7,,CCC(=O)OCOC(=O)C1=CN(CC)c2nc(C)ccc2C1=O
38286,2.15,,N1C(=O)NC(=O)C=C1C(=O)OCCCCCCC
38287,1.5,,C1=C(F)C(=O)NC(=O)N1Cc2ccc(C)cc2
38288,1.96,,C1=C(F)C(=O)NC(=O)N1c2ccc(Cl)cc2Cl
38289,3.85,,c1cc(Cl)ccc1CC2CCC(C)(C)C2(O)CN3N=CN=C3
38290,4.21,,c1cc(Cl)ccc1CC2CCC(C(C)C)C2(O)Cn3ncnc3
38292,3.21,,Cc1cc(C)cc(C)c1S(=O)(=O)c2nn(C(=O)N(CC)CC)cn2
38293,2.69,,CC(=O)Nc1c(C)c(Cl)c(Br)cc1
38295,-1.03,,n1c(OC)cc(OC)nc1Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)O[Na]
38296,3.54,,C1CCCCN1CCC(=O)c2ccccc2C
38297,0.52,,CN1C(=O)N(CC)c2ncnc2C1=O
38298,4.02,,c1ccccc1COC(=O)C2C(C)(C)C2C=C3C(=O)SCC3
38300,-0.4,,C1=CC(=O)C(O)=CN1CC
38301,-0.66,,OCCN1C=CC(=O)C(O)=C1CC
38302,0.04,,COCCN1C=CC(=O)C(O)=C1CC
38304,1.81,,CC1(C)CC(N(N=O)C(=O)NC2C(O)OC(CO)C(O)C2O)C(C)(C)N1=O
38305,1.87,,CC1(C)CC(CC(C)(C)N1=O)N(N=O)C(=O)NC2C(O)OC(CO)C(O)C2O
38306,2.27,,CC(=O)OCC1OC(OC(=O)C)C(NC(=O)N(N=O)C2CC(C)(C)N(=O)C(C)(C)C2)C(OC(=O)C)C1OC(=O)C
38307,2.25,,CC(=O)OCC1OC(OC(=O)C)C(NC(=O)N(N=O)C2CC(C)(C)N(=O)C2(C)C)C(OC(=O)C)C1OC(=O)C
38308,0.27,,O1C(CO)CC(F)C1N2c3ncnc(NC)c3N=C2
38309,0.38,,CS(=O)(=O)OCCC[Se]CCCOS(=O)(=O)C
38310,2.89,,CCOc1ccccc1OS(=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2
38311,1.42,,O=N(=O)C(C)(C)c(c1)c(N(=O)=O)cc(c1)S(=O)(=O)N(C)CCN(C)C
38312,0.51,,NS(=O)(=O)C(S1)=CC(=C12)SC(=C2)CNCCOC
